MONTHS_AS_CUSTOMER,AGE,POLICY_STATE,POLICY_CSL,POLICY_DEDUCTIBLE,POLICY_ANNUAL_PREMIUM,UMBRELLA_LIMIT,INSURED_SEX,INSURED_EDUCATION_LEVEL,INSURED_OCCUPATION,INSURED_RELATIONSHIP,POLICY_TENURE_MONTHS,POLICY_BIND_YEAR,INCIDENT_TYPE,COLLISION_TYPE,INCIDENT_SEVERITY,AUTHORITIES_CONTACTED,INCIDENT_STATE,INCIDENT_CITY,INCIDENT_HOUR_OF_THE_DAY,NUMBER_OF_VEHICLES_INVOLVED,PROPERTY_DAMAGE,BODILY_INJURIES,WITNESSES,POLICE_REPORT_AVAILABLE,CAPITAL_GAINS,CAPITAL_LOSS,TOTAL_CLAIM_AMOUNT,INJURY_CLAIM,PROPERTY_CLAIM,VEHICLE_CLAIM,CLAIM_TO_PREMIUM_RATIO,AUTO_MAKE,AUTO_MODEL,AUTO_YEAR,VEHICLE_AGE,INCIDENT_YEAR,INCIDENT_MONTH,SEVERITY_SCORE,FRAUD_FLAG
328,48,OH,250/500,1000,1406.91,0,MALE,MD,craft-repair,husband,3,2014,Single Vehicle Collision,Side Collision,Major Damage,Police,SC,Columbus,5,1,YES,1,2,YES,53300,0,71610,6510,13020,52080,50.90,Saab,92x,2004,11,2015,1,3,1
228,42,IN,250/500,2000,1197.22,5000000,MALE,MD,machine-op-inspct,other-relative,103,2006,Vehicle Theft,,Minor Damage,Police,VA,Riverwood,8,1,,0,0,,0,0,5070,780,780,3510,4.23,Mercedes,E400,2007,8,2015,1,1,1
134,29,OH,100/300,2000,1413.14,5000000,FEMALE,PhD,sales,own-child,173,2000,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,NY,Columbus,7,3,NO,2,3,NO,35100,0,34650,7700,3850,23100,24.52,Dodge,RAM,2007,8,2015,2,1,0
256,41,IL,250/500,2000,1415.74,6000000,FEMALE,PhD,armed-forces,unmarried,296,1990,Single Vehicle Collision,Front Collision,Major Damage,Police,OH,Arlington,5,1,,1,2,NO,48900,-62400,63400,6340,6340,50720,44.78,Chevrolet,Tahoe,2014,1,2015,1,3,1
228,44,IL,500/1000,1000,1583.91,6000000,MALE,Associate,sales,unmarried,8,2014,Vehicle Theft,,Minor Damage,None,NY,Arlington,20,1,NO,0,1,NO,66000,-46000,6500,1300,650,4550,4.10,Accura,RSX,2009,6,2015,2,1,0
256,39,OH,250/500,1000,1351.10,0,FEMALE,PhD,tech-support,unmarried,99,2006,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,SC,Arlington,19,3,NO,0,2,NO,0,0,64100,6410,6410,51280,47.44,Saab,95,2003,12,2015,1,3,1
137,34,IN,250/500,1000,1333.35,0,MALE,PhD,prof-specialty,husband,175,2000,Multi-vehicle Collision,Front Collision,Minor Damage,Police,NY,Springfield,0,3,,0,0,,0,-77000,78650,21450,7150,50050,58.99,Nissan,Pathfinder,2012,3,2015,1,1,0
165,37,IL,100/300,1000,1137.03,0,MALE,Associate,tech-support,unmarried,300,1990,Multi-vehicle Collision,Front Collision,Total Loss,Police,VA,Columbus,23,3,,2,2,YES,0,0,51590,9380,9380,32830,45.37,Audi,A5,2015,0,2015,2,4,0
27,33,IL,100/300,500,1442.99,0,FEMALE,PhD,other-service,own-child,215,1997,Single Vehicle Collision,Front Collision,Total Loss,Police,WV,Arlington,21,1,NO,1,1,YES,0,0,27700,2770,2770,22160,19.20,Toyota,Camry,2012,3,2015,1,4,0
212,42,IL,100/300,500,1315.68,0,MALE,PhD,priv-house-serv,wife,42,2011,Single Vehicle Collision,Rear Collision,Total Loss,Other,NC,Hillsdale,14,1,NO,2,1,,0,-39300,42300,4700,4700,32900,32.15,Saab,92x,1996,19,2015,1,4,0
235,42,OH,100/300,500,1253.12,4000000,FEMALE,Masters,exec-managerial,other-relative,152,2002,Single Vehicle Collision,Front Collision,Total Loss,Police,NY,Northbend,22,1,YES,2,2,,38400,0,87010,7910,15820,63280,69.43,Ford,F150,2002,13,2015,1,4,0
447,61,OH,100/300,2000,1137.16,0,FEMALE,High School,exec-managerial,other-relative,189,1999,Multi-vehicle Collision,Front Collision,Major Damage,Fire,SC,Springfield,21,3,YES,1,2,YES,0,-51000,114920,17680,17680,79560,101.06,Audi,A3,2006,9,2015,2,3,0
60,23,OH,500/1000,500,1215.36,3000000,MALE,MD,protective-serv,wife,206,1997,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,SC,Northbend,9,1,YES,1,0,NO,0,0,56520,4710,9420,42390,46.50,Saab,95,2000,15,2015,1,4,0
121,34,OH,100/300,1000,936.61,0,FEMALE,MD,armed-forces,wife,27,2012,Parked Car,,Minor Damage,None,SC,Springfield,5,1,NO,1,1,NO,52800,-32800,7280,1120,1120,5040,7.77,Toyota,Highlander,2010,5,2015,1,1,0
180,38,OH,250/500,2000,1301.13,0,FEMALE,College,machine-op-inspct,not-in-family,193,1998,Single Vehicle Collision,Rear Collision,Total Loss,Police,SC,Springfield,12,1,NO,0,2,YES,41300,-55500,46200,4200,8400,33600,35.51,Dodge,Neon,2003,12,2015,1,4,1
473,58,IN,100/300,2000,1131.40,0,FEMALE,MD,transport-moving,other-relative,267,1992,Multi-vehicle Collision,Side Collision,Major Damage,Other,WV,Hillsdale,12,4,YES,0,0,NO,55700,0,63120,10520,10520,42080,55.79,Accura,MDX,1999,16,2015,1,3,1
